final_position	id	word	candidate_rank	source	existing_id	lesson_number	category	subcategory	folder	lesson_title
77	4077	包丁		existing	4077	8	Daily Life	Cooking	cooking	Cooking • Kitchen
78	4078	弱火		existing	4078	8	Daily Life	Cooking	cooking	Cooking • Kitchen
79	4079	混ぜる		existing	4079	8	Daily Life	Cooking	cooking	Cooking • Kitchen
80	4080	蒸す		existing	4080	8	Daily Life	Cooking	cooking	Cooking • Kitchen
81	4081	講義		existing	4081	9	Daily Life	School	school	School • Study
82	4082	単位		existing	4082	9	Daily Life	School	school	School • Study
83	4083	課題		existing	4083	9	Daily Life	School	school	School • Study
84	4084	復習		existing	4084	9	Daily Life	School	school	School • Study
85	4085	予習		existing	4085	9	Daily Life	School	school	School • Study
86	4086	合格		existing	4086	9	Daily Life	School	school	School • Study
87	4087	成績		existing	4087	9	Daily Life	School	school	School • Study
88	4088	受験		existing	4088	9	Daily Life	School	school	School • Study
89	4089	奨学金		existing	4089	9	Daily Life	School	school	School • Study
90	4090	発表		existing	4090	9	Daily Life	School	school	School • Study
91	4091	連絡		existing	4091	10	Daily Life	Communication	communication	Communication • Manners
92	4092	返事		existing	4092	10	Daily Life	Communication	communication	Communication • Manners
93	4093	相談		existing	4093	10	Daily Life	Communication	communication	Communication • Manners
94	4094	迷惑		existing	4094	10	Daily Life	Communication	communication	Communication • Manners
95	4095	敬語		existing	4095	10	Daily Life	Communication	communication	Communication • Manners
96	4096	誤解		existing	4096	10	Daily Life	Communication	communication	Communication • Manners
97	4097	挨拶		existing	4097	10	Daily Life	Communication	communication	Communication • Manners
98	4098	約束		existing	4098	10	Daily Life	Communication	communication	Communication • Manners
99	4099	遠慮		existing	4099	10	Daily Life	Communication	communication	Communication • Manners
100	4100	感謝		existing	4100	10	Daily Life	Communication	communication	Communication • Manners
101	4101	洗濯		existing	4101	11	Daily Life	Fashion	fashion	Fashion • Clothing
102	4102	縮む		existing	4102	11	Daily Life	Fashion	fashion	Fashion • Clothing
103	4103	綿素材		existing	4103	11	Daily Life	Fashion	fashion	Fashion • Clothing
104	4104	丈		existing	4104	11	Daily Life	Fashion	fashion	Fashion • Clothing
105	4105	袖		existing	4105	11	Daily Life	Fashion	fashion	Fashion • Clothing
106	4106	柄		existing	4106	11	Daily Life	Fashion	fashion	Fashion • Clothing
107	4107	試着		existing	4107	11	Daily Life	Fashion	fashion	Fashion • Clothing
108	4108	丁寧		existing	4108	11	Daily Life	Fashion	fashion	Fashion • Clothing
109	4109	流行		existing	4109	11	Daily Life	Fashion	fashion	Fashion • Clothing
110	4110	着替え		existing	4110	11	Daily Life	Fashion	fashion	Fashion • Clothing
111	4111	宿泊		existing	4111	12	Daily Life	Travel	travel	Travel • Accommodation
112	4112	観光		existing	4112	12	Daily Life	Travel	travel	Travel • Accommodation
113	4113	予約		existing	4113	12	Daily Life	Travel	travel	Travel • Accommodation
114	4114	土産		existing	4114	12	Daily Life	Travel	travel	Travel • Accommodation
115	4115	旅館		existing	4115	12	Daily Life	Travel	travel	Travel • Accommodation
116	4116	チェックイン		existing	4116	12	Daily Life	Travel	travel	Travel • Accommodation
117	4117	空席		existing	4117	12	Daily Life	Travel	travel	Travel • Accommodation
118	4118	模様替え		existing	4118	12	Daily Life	Travel	travel	Travel • Accommodation
119	4119	眠れない		existing	4119	12	Daily Life	Travel	travel	Travel • Accommodation
120	4120	選択肢		existing	4120	12	Daily Life	Travel	travel	Travel • Accommodation
121	4121	目覚まし		existing	4121	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
122	4122	寝坊		existing	4122	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
123	4123	枕		existing	4123	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
124	4124	布団		existing	4124	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
125	4125	掃除		existing	4125	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
126	4126	片付け		existing	4126	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
127	4127	ゴミ出し		existing	4127	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
128	4128	趣味		existing	4128	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
129	4129	汚れ		existing	4129	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
130	4130	節水		existing	4130	13	Daily Life	Daily Routine	daily-routine	Daily Routine • Home Life
131	4131	環境		existing	4131	14	Society & Public Affairs	Environment	environment	Environment • Nature
132	4132	資源		existing	4132	14	Society & Public Affairs	Environment	environment	Environment • Nature
133	4133	省エネ		existing	4133	14	Society & Public Affairs	Environment	environment	Environment • Nature
134	4134	リサイクル		existing	4134	14	Society & Public Affairs	Environment	environment	Environment • Nature
135	4135	廃棄		existing	4135	14	Society & Public Affairs	Environment	environment	Environment • Nature
136	4136	排気ガス		existing	4136	14	Society & Public Affairs	Environment	environment	Environment • Nature
137	4137	植物		existing	4137	14	Society & Public Affairs	Environment	environment	Environment • Nature
138	4138	地球温暖化		existing	4138	14	Society & Public Affairs	Environment	environment	Environment • Nature
139	4139	自然災害		existing	4139	14	Society & Public Affairs	Environment	environment	Environment • Nature
140	4140	節電		existing	4140	14	Society & Public Affairs	Environment	environment	Environment • Nature
141	4141	礼儀		existing	4141	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
142	4142	招待		existing	4142	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
143	4143	断り		existing	4143	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
144	4144	許可		existing	4144	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
145	4145	謝罪		existing	4145	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
146	4146	誘い		existing	4146	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
147	4147	信頼		existing	4147	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
148	4148	否定		existing	4148	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
149	4149	心遣い		existing	4149	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
150	4150	要求		existing	4150	15	Daily Life	Etiquette	etiquette	Manners • Etiquette
151	4151	薬局		existing	4151	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
152	4152	処方箋		existing	4152	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
153	4153	市販薬		existing	4153	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
154	4154	服用		existing	4154	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
155	4155	副反応		existing	4155	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
156	4156	点滴		existing	4156	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
157	4157	採血		existing	4157	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
158	4158	手術		existing	4158	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
159	4159	回復		existing	4159	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
160	4160	通院		existing	4160	16	Daily Life	Medicine	medicine	Medicine • Pharmacy
161	4161	自治会		existing	4161	17	Daily Life	Community	community	Community • Neighbourhood
162	4162	回覧板		existing	4162	17	Daily Life	Community	community	Community • Neighbourhood
163	4163	粗大ゴミ		existing	4163	17	Daily Life	Community	community	Community • Neighbourhood
164	4164	近所付き合い		existing	4164	17	Daily Life	Community	community	Community • Neighbourhood
165	4165	防犯		existing	4165	17	Daily Life	Community	community	Community • Neighbourhood
166	4166	避難場所		existing	4166	17	Daily Life	Community	community	Community • Neighbourhood
167	4167	地域		existing	4167	17	Daily Life	Community	community	Community • Neighbourhood
168	4168	掲示板		existing	4168	17	Daily Life	Community	community	Community • Neighbourhood
169	4169	町内会		existing	4169	17	Daily Life	Community	community	Community • Neighbourhood
170	4170	共有スペース		existing	4170	17	Daily Life	Community	community	Community • Neighbourhood
171	4171	アプリ		existing	4171	18	Technology & Science	Technology	technology	Technology • Internet
172	4172	パスワード		existing	4172	18	Technology & Science	Technology	technology	Technology • Internet
173	4173	検索		existing	4173	18	Technology & Science	Technology	technology	Technology • Internet
174	4174	ダウンロード		existing	4174	18	Technology & Science	Technology	technology	Technology • Internet
175	4175	充電		existing	4175	18	Technology & Science	Technology	technology	Technology • Internet
176	4176	通知		existing	4176	18	Technology & Science	Technology	technology	Technology • Internet
177	4177	設定		existing	4177	18	Technology & Science	Technology	technology	Technology • Internet
178	4178	バックアップ		existing	4178	18	Technology & Science	Technology	technology	Technology • Internet
179	4179	データ通信		existing	4179	18	Technology & Science	Technology	technology	Technology • Internet
180	4180	ウイルス対策		existing	4180	18	Technology & Science	Technology	technology	Technology • Internet
181	4181	準備運動		existing	4181	19	Daily Life	Sports	sports	Sport • Exercise
182	4182	筋肉痛		existing	4182	19	Daily Life	Sports	sports	Sport • Exercise
183	4183	体力		existing	4183	19	Daily Life	Sports	sports	Sport • Exercise
184	4184	柔軟		existing	4184	19	Daily Life	Sports	sports	Sport • Exercise
185	4185	試合		existing	4185	19	Daily Life	Sports	sports	Sport • Exercise
186	4186	審判		existing	4186	19	Daily Life	Sports	sports	Sport • Exercise
187	4187	記録		existing	4187	19	Daily Life	Sports	sports	Sport • Exercise
188	4188	応援		existing	4188	19	Daily Life	Sports	sports	Sport • Exercise
189	4189	練習試合		existing	4189	19	Daily Life	Sports	sports	Sport • Exercise
190	4190	引き分け		existing	4190	19	Daily Life	Sports	sports	Sport • Exercise
191	4191	不安		existing	4191	20	Daily Life	Emotions	emotions	Emotions • Mental Health
192	4192	緊張		existing	4192	20	Daily Life	Emotions	emotions	Emotions • Mental Health
193	4193	焦り		existing	4193	20	Daily Life	Emotions	emotions	Emotions • Mental Health
194	4194	落ち込む		existing	4194	20	Daily Life	Emotions	emotions	Emotions • Mental Health
195	4195	励ます		existing	4195	20	Daily Life	Emotions	emotions	Emotions • Mental Health
196	4196	我慢		existing	4196	20	Daily Life	Emotions	emotions	Emotions • Mental Health
197	4197	気持ち		existing	4197	20	Daily Life	Emotions	emotions	Emotions • Mental Health
198	4198	ストレス		existing	4198	20	Daily Life	Emotions	emotions	Emotions • Mental Health
199	4199	安心		existing	4199	20	Daily Life	Emotions	emotions	Emotions • Mental Health
200	4200	やる気		existing	4200	20	Daily Life	Emotions	emotions	Emotions • Mental Health
201	4201	予約席		existing	4201	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
202	4202	注文		existing	4202	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
203	4203	個室		existing	4203	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
204	4204	盛り付け		existing	4204	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
205	4205	辛口		existing	4205	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
206	4206	薄味		existing	4206	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
207	4207	好み		existing	4207	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
208	4208	偏食		existing	4208	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
209	4209	会計		existing	4209	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
210	4210	割り勘		existing	4210	21	Daily Life	Dining Out	dining	Dining Out • Restaurant
211	4211	保険料		existing	4211	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
212	4212	契約書		existing	4212	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
213	4213	賠償		existing	4213	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
214	4214	訴える		existing	4214	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
215	4215	裁判		existing	4215	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
216	4216	弁護士		existing	4216	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
217	4217	違反		existing	4217	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
218	4218	罰金		existing	4218	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
219	4219	保証人		existing	4219	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
220	4220	適用		existing	4220	22	Society & Public Affairs	Insurance & Legal	legal	Insurance • Legal Matters
221	4221	親戚		existing	4221	23	Daily Life	Family & Relationships	family	Family • Relationships
222	4222	孫		existing	4222	23	Daily Life	Family & Relationships	family	Family • Relationships
223	4223	甥		existing	4223	23	Daily Life	Family & Relationships	family	Family • Relationships
224	4224	離婚		existing	4224	23	Daily Life	Family & Relationships	family	Family • Relationships
225	4225	扶養		existing	4225	23	Daily Life	Family & Relationships	family	Family • Relationships
226	4226	介護		existing	4226	23	Daily Life	Family & Relationships	family	Family • Relationships
227	4227	甘やかす		existing	4227	23	Daily Life	Family & Relationships	family	Family • Relationships
228	4228	厳しい		existing	4228	23	Daily Life	Family & Relationships	family	Family • Relationships
229	4229	仲		existing	4229	23	Daily Life	Family & Relationships	family	Family • Relationships
230	4230	円満		existing	4230	23	Daily Life	Family & Relationships	family	Family • Relationships
231	4231	水漏れ		existing	4231	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
232	4232	排水管		existing	4232	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
233	4233	修繕		existing	4233	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
234	4234	塗装		existing	4234	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
235	4235	腐食		existing	4235	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
236	4236	補修		existing	4236	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
237	4237	業者		existing	4237	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
238	4238	見積もり		existing	4238	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
239	4239	工事		existing	4239	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
240	4240	点検		existing	4240	24	Daily Life	Housing Maintenance	housing-repairs	Housing Maintenance • Repairs
241	4241	報道		existing	4241	25	Society & Public Affairs	Media & News	media	Media • News
242	4242	記事		existing	4242	25	Society & Public Affairs	Media & News	media	Media • News
243	4243	取材		existing	4243	25	Society & Public Affairs	Media & News	media	Media • News
244	4244	編集		existing	4244	25	Society & Public Affairs	Media & News	media	Media • News
245	4245	掲載		existing	4245	25	Society & Public Affairs	Media & News	media	Media • News
246	4246	偏向報道		existing	4246	25	Society & Public Affairs	Media & News	media	Media • News
247	4247	広告		existing	4247	25	Society & Public Affairs	Media & News	media	Media • News
248	4248	虚偽		existing	4248	25	Society & Public Affairs	Media & News	media	Media • News
249	4249	視聴率		existing	4249	25	Society & Public Affairs	Media & News	media	Media • News
250	4250	配信		existing	4250	25	Society & Public Affairs	Media & News	media	Media • News
251	4251	求人		existing	4251	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
252	4252	応募		existing	4252	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
253	4253	履歴書		existing	4253	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
254	4254	内定		existing	4254	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
255	4255	就職		existing	4255	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
256	4256	経験		existing	4256	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
257	4257	資格		existing	4257	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
258	4258	志望動機		existing	4258	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
259	4259	採用		existing	4259	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
260	4260	評価		existing	4260	26	Work & Business	Job Hunting	job-hunting	Job Hunting • Career
261	4261	郵便局		existing	4261	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
262	4262	荷物		existing	4262	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
263	4263	届く		existing	4263	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
264	4264	配達		existing	4264	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
265	4265	追跡番号		existing	4265	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
266	4266	宛先		existing	4266	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
267	4267	差出人		existing	4267	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
268	4268	受取人		existing	4268	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
269	4269	再配達		existing	4269	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
270	4270	郵送		existing	4270	27	Daily Life	Postal Services	postal	Postal Services • Deliveries
271	4271	保育園		existing	4271	28	Daily Life	Childcare	childcare	Childcare • Early Education
272	4272	幼児		existing	4272	28	Daily Life	Childcare	childcare	Childcare • Early Education
273	4273	託児所		existing	4273	28	Daily Life	Childcare	childcare	Childcare • Early Education
274	4274	発達		existing	4274	28	Daily Life	Childcare	childcare	Childcare • Early Education
275	4275	しつけ		existing	4275	28	Daily Life	Childcare	childcare	Childcare • Early Education
276	4276	叱る		existing	4276	28	Daily Life	Childcare	childcare	Childcare • Early Education
277	4277	褒める		existing	4277	28	Daily Life	Childcare	childcare	Childcare • Early Education
278	4278	遊具		existing	4278	28	Daily Life	Childcare	childcare	Childcare • Early Education
279	4279	習い事		existing	4279	28	Daily Life	Childcare	childcare	Childcare • Early Education
280	4280	生活習慣		existing	4280	28	Daily Life	Childcare	childcare	Childcare • Early Education
281	4281	役所		existing	4281	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
282	4282	窓口		existing	4282	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
283	4283	証明書		existing	4283	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
284	4284	手続き		existing	4284	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
285	4285	申請		existing	4285	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
286	4286	交付		existing	4286	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
287	4287	住民票		existing	4287	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
288	4288	戸籍		existing	4288	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
289	4289	図書館		existing	4289	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
290	4290	公共施設		existing	4290	29	Daily Life	Public Facilities	public-facilities	Public Facilities • Government Offices
291	4291	展覧会		existing	4291	30	Daily Life	Art & Culture	art-culture	Art • Culture
292	4292	作品		existing	4292	30	Daily Life	Art & Culture	art-culture	Art • Culture
293	4293	創作		existing	4293	30	Daily Life	Art & Culture	art-culture	Art • Culture
294	4294	芸術		existing	4294	30	Daily Life	Art & Culture	art-culture	Art • Culture
295	4295	彫刻		existing	4295	30	Daily Life	Art & Culture	art-culture	Art • Culture
296	4296	絵画		existing	4296	30	Daily Life	Art & Culture	art-culture	Art • Culture
297	4297	陶芸		existing	4297	30	Daily Life	Art & Culture	art-culture	Art • Culture
298	4298	個性		existing	4298	30	Daily Life	Art & Culture	art-culture	Art • Culture
299	4299	伝統		existing	4299	30	Daily Life	Art & Culture	art-culture	Art • Culture
300	4300	鑑賞		existing	4300	30	Daily Life	Art & Culture	art-culture	Art • Culture
301	4301	融資		existing	4301	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
302	4302	投資		existing	4302	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
303	4303	株式		existing	4303	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
304	4304	利息		existing	4304	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
305	4305	元本		existing	4305	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
306	4306	返済		existing	4306	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
307	4307	借金		existing	4307	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
308	4308	資産		existing	4308	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
309	4309	運用		existing	4309	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
310	4310	損失		existing	4310	31	Work & Business	Banking & Investment	banking-investment	Banking • Investment
311	4311	避難		existing	4311	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
312	4312	備蓄		existing	4312	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
313	4313	緊急		existing	4313	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
314	4314	警報		existing	4314	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
315	4315	震度		existing	4315	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
316	4316	津波		existing	4316	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
317	4317	避難所		existing	4317	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
318	4318	救助		existing	4318	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
319	4319	防災グッズ		existing	4319	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
320	4320	被害		existing	4320	32	Society & Public Affairs	Emergency Preparedness	emergency-preparedness	Emergency • Disaster Preparedness
321	4321	筋力		existing	4321	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
322	4322	鍛える		existing	4322	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
323	4323	有酸素運動		existing	4323	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
324	4324	負荷		existing	4324	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
325	4325	姿勢		existing	4325	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
326	4326	持続		existing	4326	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
327	4327	器具		existing	4327	33	Daily Life	Fitness & Gym	fitness	Fitness • Gym
